Cluster Channel  Gain   K_adc   1pe,code  Rel_sens
1    4    0.000    0.000    24.118    1.136
1    5    0.000    0.000    3.310    1.136
1    6    0.000    0.000    25.686    1.013
1    7    0.000    0.000    2.723    1.013
1    8    0.000    0.000    24.342    1.017
1    9    0.000    0.000    2.647    1.017
1    10    0.000    0.000    25.619    1.075
1    11    0.000    0.000    2.513    1.075
1    12    0.000    0.000    21.035    1.179
1    13    0.000    0.000    2.915    1.179
1    14    0.000    0.000    23.822    1.133
1    15    0.000    0.000    2.625    1.133
1    16    0.000    0.000    19.661    1.301
1    17    0.000    0.000    3.060    1.301
1    18    0.000    0.000    22.317    1.260
1    19    0.000    0.000    3.419    1.260
1    20    0.000    0.000    24.402    0.952
1    21    0.000    0.000    1.982    0.952
1    22    0.000    0.000    25.086    1.081
1    23    0.000    0.000    2.927    1.081
1    24    0.000    0.000    25.135    1.036
1    25    0.000    0.000    2.861    1.036
1    26    0.000    0.000    28.834    0.884
1    27    0.000    0.000    3.330    0.884
1    28    0.000    0.000    24.148    1.088
1    29    0.000    0.000    2.316    1.088
1    30    0.000    0.000    24.065    1.153
1    31    0.000    0.000    2.584    1.153
1    32    0.000    0.000    29.128    0.933
1    33    0.000    0.000    2.366    0.933
1    34    0.000    0.000    25.195    1.161
1    35    0.000    0.000    2.355    1.161
1    36    0.000    0.000    26.337    1.103
1    37    0.000    0.000    2.818    1.103
1    38    0.000    0.000    27.059    1.120
1    39    0.000    0.000    2.362    1.120
1    40    0.000    0.000    25.584    1.148
1    41    0.000    0.000    2.007    1.148
1    42    0.000    0.000    25.661    1.073
1    43    0.000    0.000    2.314    1.073
1    44    0.000    0.000    24.547    1.192
1    45    0.000    0.000    2.230    1.192
1    46    0.000    0.000    26.106    1.114
1    47    0.000    0.000    2.758    1.114
1    48    0.000    0.000    25.876    1.064
1    49    0.000    0.000    2.627    1.064
1    50    0.000    0.000    24.093    1.217
1    51    0.000    0.000    2.343    1.217
1    52    0.000    0.000    29.069    0.997
1    53    0.000    0.000    2.423    0.997
1    54    0.000    0.000    24.316    1.179
1    55    0.000    0.000    2.594    1.179
1    56    0.000    0.000    22.025    1.216
1    57    0.000    0.000    2.516    1.216
1    58    0.000    0.000    24.760    1.150
1    59    0.000    0.000    2.411    1.150
2    4    0.000    0.000    26.104    1.157
2    5    0.000    0.000    2.532    1.157
2    6    0.000    0.000    28.605    1.063
2    7    0.000    0.000    2.319    1.063
2    8    0.000    0.000    24.778    1.198
2    9    0.000    0.000    2.570    1.198
2    10    0.000    0.000    26.946    1.069
2    11    0.000    0.000    2.780    1.069
2    12    0.000    0.000    24.484    1.180
2    13    0.000    0.000    2.259    1.180
2    14    0.000    0.000    28.909    1.085
2    15    0.000    0.000    2.737    1.085
2    16    0.000    0.000    23.410    1.184
2    17    0.000    0.000    2.296    1.184
2    18    0.000    0.000    24.446    1.227
2    19    0.000    0.000    2.882    1.227
2    20    0.000    0.000    24.072    1.048
2    21    0.000    0.000    2.760    1.048
2    22    0.000    0.000    28.565    0.979
2    23    0.000    0.000    2.478    0.979
2    24    0.000    0.000    24.041    1.216
2    25    0.000    0.000    2.593    1.216
2    26    0.000    0.000    22.739    1.117
2    27    0.000    0.000    3.006    1.117
2    28    0.000    0.000    28.141    1.086
2    29    0.000    0.000    2.849    1.086
2    30    0.000    0.000    27.966    1.040
2    31    0.000    0.000    2.990    1.040
2    32    0.000    0.000    28.935    1.017
2    33    0.000    0.000    3.272    1.017
2    34    0.000    0.000    22.977    1.296
2    35    0.000    0.000    3.085    1.296
2    36    0.000    0.000    24.837    1.209
2    37    0.000    0.000    3.360    1.209
2    38    0.000    0.000    27.668    1.052
2    39    0.000    0.000    2.632    1.052
2    40    0.000    0.000    26.122    1.060
2    41    0.000    0.000    2.783    1.060
2    42    0.000    0.000    31.212    0.938
2    43    0.000    0.000    3.222    0.938
2    44    0.000    0.000    27.034    1.093
2    45    0.000    0.000    2.625    1.093
2    46    0.000    0.000    24.103    1.292
